card_no,term,definition,sg_chapter,sg_chapter_title,domain,domain_title,confidence,placed_in,reason
869,What is third‐party governance?,"Third‐party governance is the system of oversight that may be mandated by law, regulation, industry standards, or licensing requirements. The actual method of governance may vary but generally involves an outside investigator or auditor.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,MEDIUM,Ch 1,Third-party governance oversight
870,What is threat hunting?,Threat hunting is the activity of looking for existing evidence of a compromise once symptoms or an IoC (indicator of compromise) of an exploit become known.,17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,Threat hunting incident detection
871,What is threat modeling?,"Threat modeling is the security process whereby potential threats are identified, categorized, and analyzed. Threat modeling can be performed as a proactive measure during design and development or as a reactive measure once a product has been deployed.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Threat modeling named Ch1 section
872,What is tokenization?,"Tokenization replaces data elements with a string of characters or a token. Credit card processors replace credit card data with a token, and a third party holds the mapping to the original data and the token.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Tokenization data protection method
873,What is total risk?,The amount of risk an organization would face if no safeguards were implemented. A formula for total risk is threats × vulnerabilities × asset value = total risk.,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Total risk formula risk management
874,What is TPM?,Trusted Platform Module (TPM) is a cryptoprocessor chip on a mainboard used to store and process cryptographic keys for the purposes of a hardware‐supported or ‐implemented hard drive encryption system.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,TPM cryptoprocessor hardware architecture
875,What is transitive trust?,"Transitive trust is the concept that if A trusts B and B trusts C, then A inherits trust of C through the transitive property, which works like it would in a mathematical equation: if A = B, and B = C, then A = C. In this example, when A requests data from B, then B requests data from C, the data that A receives is essentially from C. Transitive trust is a serious security concern because it may enable bypassing of restrictions or limitations between A and C.",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,MEDIUM,Ch 8,Transitive trust security concept
876,What is transparency?,"A characteristic of a service, security control, or access mechanism that ensures it is unseen by users",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,MEDIUM,Ch 8,Transparency characteristic of control
877,What is Trike?,Trike is a threat modeling methodology that focuses on a risk‐based approach instead of depending on the aggregated threat model used in STRIDE and DREAD. Trike provides a method of performing a security audit in a reliable and repeatable procedure. It also provides a consistent framework for communication and collaboration among security workers.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Trike threat modeling methodology
878,What is Trusted Automated eXchange of Intelligence Information (TAXII)?,Defines protocols and services for automated sharing of structured threat information,17,Preventing and Responding to Incidents,D7,Security Operations,MEDIUM,Ch 17,TAXII threat intelligence sharing
879,"What is tunneling, and why is it used?",A process that protects the contents of packets by encapsulating them in another protocol. This creates the logical illusion of a communications tunnel through an untrusted intermediary network.,12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,Tunneling encapsulation VPN concept
880,What is two‐person control?,Two‐person control is similar to segregation of duties. It requires the approval of two individuals for critical tasks.,16,Managing Security Operations,D7,Security Operations,MEDIUM,Ch 16,Two-person control operations practice
881,What is typosquatting?,A practice employed to capture and redirect traffic when a user mistypes the domain name or IP address of an intended resource,11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,Typosquatting domain name redirect
882,What is UEFI?,"UEFI (Unified Extensible Firmware Interface) is a more advanced interface (than BIOS) between hardware and the operating system, which maintains support for legacy BIOS services.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,UEFI firmware hardware architecture
883,What is URL hijacking?,"URL hijacking refers to the practice of displaying a link or advertisement that looks like that of a well‐known product, service, or site, but when clicked redirects the user to an alternate location, service, or product. This may be accomplished by posting sites and pages and exploiting search engine optimization (SEO), or through the use of adware that replaces legitimate ads and links with those leading to alternate or malicious locations.",21,Malicious Code and Application Attacks,D8,Software Development Security,MEDIUM,Ch 21,URL hijacking web redirect attack
884,What is used to provide fault tolerance for a disk subsystem?,Redundant array of independent disks (RAID),18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,RAID fault tolerance disk
885,What is used to provide fault tolerance for a server?,Failover cluster,18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Failover cluster fault tolerance server
886,What is used to provide long‐term fault tolerance for a power failure?,Generator,18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Generator long-term power fault tolerance
887,What is used to provide short‐term fault tolerance for a power failure?,Uninterruptible power supply (UPS),18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,UPS short-term power fault tolerance
888,What is VAST?,"VAST (Visual, Agile, and Simple Threat) is a threat modeling concept based on Agile project management and programming principles. The goal of VAST is to integrate threat and risk management into an Agile programming environment on a scalable basis.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,VAST threat modeling methodology
889,What is VDI?,"Virtual desktop infrastructure (VDI) is a means to reduce the security risk and performance requirements of end devices by hosting virtual machines on central servers that are remotely accessed by users. It is a means to retain storage control on central servers, gain access to higher levels of system processing and other resources, and allow lower‐end devices access to software and services behind their hardware's capacity.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,VDI virtual desktop infrastructure architecture
890,What is versioning?,Versioning typically refers to version control used in software configuration management. A labeling or numbering system differentiates between different software sets and configurations across multiple machines or at different points in time on a single machine.,16,Managing Security Operations,D7,Security Operations,HIGH,Ch 16,Versioning configuration management
891,What is virtual networking?,"A virtualized network or network virtualization is the combination of hardware and software networking components into a single integrated entity. The resulting solution allows for software control over all network functions: management, traffic shaping, address assignment, and so on.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,Virtual networking virtualized systems
892,What is virtual software?,A virtual application or virtual software is a software product deployed in such a way that it is fooled into believing it is interacting with a full host OS. A virtual (or virtualized) application has been packaged or encapsulated so that it can execute but operate without full access to the host OS. A virtual application is isolated from the host OS so that it cannot make any direct or permanent changes to the host OS.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Virtual software virtualization architecture
893,What is virtualization?,Technology used to host one or more operating systems within the memory of a single host computer. This mechanism allows virtually any OS to operate on any hardware. It also allows multiple operating systems to work simultaneously on the same hardware.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Virtualization hypervisor architecture
894,What is VLAN hopping?,An attack using double‐encapsulated IEEE 802.1Q VLAN tags to fool a switch into allowing traffic to jump to a different VLAN from which the traffic originated,12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,VLAN hopping switching attack
895,What is VM escaping?,VM escaping occurs when software within a guest OS is able to breach the isolation protection provided by the hypervisor in order to violate the container of other guest OSs or to infiltrate a host OS.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,VM escaping hypervisor isolation
896,What is VMI?,"Virtual mobile infrastructure (VMI) is a technology where the operating system of a mobile device is virtualized on a central server. Thus, most of the actions and activities of the traditional mobile device are no longer occurring on the mobile device itself. This remote virtualization allows an organization greater control and security than when using a standard mobile device platform.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,VMI virtual mobile infrastructure architecture
897,What is VoIP?,Voice over IP (VoIP) is a tunneling mechanism used to transport voice and/or data over a TCP/IP network. VoIP has the potential to replace or supplant PSTN because it's often less expensive and offers a wider variety of options and features.,12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,VoIP secure voice communications
898,What is VRF (virtual routing and forwarding)?,"VRF is a technology that allows multiple instances of a routing table to coexist within a router. Each VRF instance operates as a separate and independent routing domain, enabling the isolation of routing information. It allows the same physical router to maintain separate routing tables for different VRF instances, preventing the leakage of routing information between them.",11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,VRF routing isolation network component
899,What is war chalking?,War chalking is a type of geek graffiti that some wireless hackers used during the early years of wireless (1997–2002). It's a way to physically mark an area with information about the presence of a wireless network.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,War chalking wireless network discovery
900,What is war dialing?,War dialing means using a modem to search for a system that accepts inbound connection attempts.,12,Secure Communications and Network Attacks,D4,Communication and Network Security,MEDIUM,Ch 12,War dialing modem connection search
901,What is war driving?,A collection of techniques to discover that a wireless network is present at a given location,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,War driving wireless network discovery
902,What is watermarking?,"Watermarking is the practice of embedding an image or pattern in paper that isn't readily perceivable. It is often used with currency to thwart counterfeiting attempts. Similarly, organizations often use watermarking in digital documents and other types of files.",5,Protecting Security of Assets,D2,Asset Security,MEDIUM,Ch 5,Watermarking embedded marking documents
903,What is white noise (as related to EMI)?,White noise simply means broadcasting false traffic at all times to mask and hide the presence of real emanations.,10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,White noise EMI emanations
904,What is WPS?,Wi‐Fi Protected Setup (WPS) is a security standard for wireless networks. It is intended to simplify the effort involved in adding new clients to a well‐secured wireless network. It operates by autoconnecting the first new wireless client to seek the network once the administrator triggered the feature by pressing the WPS button on the base station.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,WPS Wi-Fi Protected Setup wireless
905,What is XaaS?,"Anything as a service (XaaS) is the catchall term to refer to any type of computing service or capability that can be provided to customers through or over a cloud solution. Examples are SECaaS, IPaaS, FaaS, ITaaS, and MaaS.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,XaaS cloud service catchall architecture
906,What is XDR?,"Extended detection and response (XDR) components often include EDR, MDR, and EPP elements. Also, XDR is not solely focused on endpoints, but often includes NTA, NIDS, and NIPS functions as well.",17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,XDR extended detection and response
907,What is zero trust?,"Zero trust is a security concept where nothing inside the organization is automatically trusted. Each request for activity or access is assumed to be from an unknown and untrusted location until otherwise verified. The concept is “never trust, always verify.” The zero‐trust model is based on “assume breach” and microsegmentation.",14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,Zero trust access policy enforcement
908,What ITU standard describes the contents of a digital certificate?,X.509,7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,X.509 digital certificate PKI
909,What kind of access control enforces access policy determined by the owner of the object to which the control applies?,Discretionary access control (DAC),14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,DAC access control model
910,What kind of access control is determined by the system in which the object resides rather than its owner?,Mandatory access control (MAC),14,Controlling and Monitoring Access,D5,Identity and Access Management,HIGH,Ch 14,MAC access control model
911,What kind of check should be applied to ensure that all necessary elements of a security solution are properly deployed and functioning as expected?,Compliance checking,15,Security Assessment and Testing,D6,Security Assessment and Testing,MEDIUM,Ch 15,Compliance checking security solution elements
912,"What kind of control does any mechanism, tool, or practice provide if it deters or mitigates undesirable actions or events?",Preventive control,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Preventive control category
913,What kind of control does any security tool provide when it's used to guide the security implementation within an organization?,Directive control,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Directive control category
914,What kind of control should be used to verify the effectiveness of other security controls?,Detection control,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Detection control category
915,"What kind of strategy drives defining practices, policies, and procedures to restore a business to normal operation in the wake of some kind of outage or disaster?",Recovery strategy,18,Disaster Recovery Planning,D7,Security Operations,MEDIUM,Ch 18,Recovery strategy restore business operation
916,"What kind of system is designed to detect intrusions, breaches, or attack attempts as they are underway or after the fact?",Intrusion detection system (IDS),17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,IDS intrusion detection system
917,What kinds of items qualify as access controls?,"Any hardware, software, or organizational administrative policy or procedure that maintains confidentiality, integrity, and/or accountability/accounting also counts as an access control.",14,Controlling and Monitoring Access,D5,Identity and Access Management,MEDIUM,Ch 14,Access controls hardware/software/policy definition
918,What kinds of processes must be applied when confidential storage media is prepared for reuse in questionably secure environments?,Declassification,5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Declassification media reuse handling
919,"What label applies to a partial standby facility for which power and other infrastructure elements are available, but for which no operational computing facilities are supplied in advance of a disaster?",Cold site,18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Cold site recovery site
920,What label applies to a site that is already provisioned with hardware and software to take over for a primary facility but that needs to obtain and install a backup or image of client‐specific data before going online?,Warm site,18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Warm site recovery site
921,What label applies to a standby facility that is ready to take over for a primary facility as soon as notice is received that the primary facility has gone down?,Hot site,18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Hot site recovery site
922,What law created the category of mission‐critical computer systems?,Government Information Security Reform Act,4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Government Information Security Reform Act law
923,What law extends the definition of property to include proprietary economic information so that the theft of this information can be considered industrial or corporate espionage?,Economic and Protection of Proprietary Information Act of 1996,4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Economic Espionage Act proprietary information law
924,What law grants privacy rights to students enrolled in educational institutions that accept government funding?,Family Educational Rights and Privacy Act,4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,FERPA student privacy law
925,What law requires all communications carriers to make wiretaps possible for law enforcement with an appropriate court order regardless of the technology in use?,Communications Assistance for Law Enforcement Act (CALEA) of 1994,4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,CALEA wiretap law
926,What law requires that websites provide parents with the opportunity to review any information collected from their children?,Children's Online Privacy Protection Act,4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,COPPA children's online privacy law
927,What legal protections exist for proprietary data?,"Copyrights, patents, and trade secret laws provide protection for proprietary data.",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Copyright patent trade secret proprietary protection
928,What makes the usable throughput of ISDN less than the stated bandwidth?,"The D channel is used only for call management, not data.",11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,ISDN D channel call management bandwidth
929,What method will remove all data with assurances that it cannot be removed using any known methods?,"Purging, sanitization, or destruction",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Purging sanitization destruction data removal
930,What methods can be used to protect mobile devices such as a smartphone?,"Encryption, GPS, password‐protected screen locks, and remote wipe",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Mobile device protection methods
931,What mode is used when a wireless network link is established without the use of an access point?,Ad hoc or peer‐to‐peer,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,Ad hoc peer-to-peer wireless mode
932,What must you do to make sure evidence is kept viable for use in a trial?,"You must ensure that the evidence has not changed, and you must be able to validate its integrity.",19,Investigations and Ethics,D7,Security Operations,HIGH,Ch 19,Evidence integrity for trial investigations
933,What name is given to the cryptographic concept of making the relationship between the plain text and the key so complex that an attacker can't use known plain‐text attacks to determine the key?,Confusion,6,Cryptography and Symmetric Key Algorithms,D3,Security Architecture and Engineering,HIGH,Ch 6,Confusion cryptographic concept
934,What network device works primarily at the Application layer?,An Application layer gateway,11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,Application layer gateway network device
935,What occurs when a change in the plain text results in multiple changes spread throughout the cipher text?,Diffusion,6,Cryptography and Symmetric Key Algorithms,D3,Security Architecture and Engineering,HIGH,Ch 6,Diffusion cryptographic concept
936,What organization sponsors the National Flood Insurance Program and is a good source of historical flood information?,Federal Emergency Management Agency (FEMA),3,Business Continuity Planning,D1,Security and Risk Management,MEDIUM,Ch 3,FEMA flood information continuity planning
937,What policy requires users to spend at least a week away from their jobs on an annual basis to help prevent fraud?,Mandatory vacations,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Mandatory vacations personnel policy
938,What port is used by DHCP?,Port 68 for client request broadcast and port 67 for server point‐to‐point response,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,DHCP ports IP networking
939,What port is used by IMAP?,143,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,IMAP port network protocol
940,What ports are used by DNS and for what purposes?,"TCP 53 is used for zone transfers (which includes most DNS server to DNS server communications), and UDP 53 is used for queries (which is any non‐DNS system sending a query to a DNS server).",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,DNS ports IP networking
941,What process brings order to the chaotic events surrounding the interruption of an organization's normal activities by an emergency?,Disaster recovery planning (DRP),18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Disaster recovery planning DRP
942,What process evaluates the technical and nontechnical security features of an IT system?,Certification and accreditation,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Certification and accreditation security models
943,What process identifies and categorizes potential threats?,Threat modeling,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Threat modeling identifies categorizes threats
944,What process identifies the actual value of assets so that assets can be prioritized?,Asset valuation,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Asset valuation risk management
945,What process is used to identify weaknesses?,Vulnerability analysis,15,Security Assessment and Testing,D6,Security Assessment and Testing,MEDIUM,Ch 15,Vulnerability analysis identifies weaknesses
946,"What protocol is used by ping , pathping , and traceroute ?",ICMP,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,ICMP protocol ping traceroute
947,What protocol uses the RSA encryption algorithm to provide encrypted mail support for a number of common commercial email packages?,S/MIME,7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,S/MIME RSA email crypto application
948,"What resource is in greatest demand during the BCP testing, training, and maintenance process?",Personnel time and attention,3,Business Continuity Planning,D1,Security and Risk Management,HIGH,Ch 3,BCP testing personnel time resource
949,What role do humans play as a key element in security?,"Humans are often considered the weakest element in any security solution. No matter what physical or logical controls are deployed, humans can discover ways to avoid them, circumvent or subvert them, or deactivate them. However, people can also become a key security asset when they are properly trained and are motivated to protect not only themselves but the security of the organization as well.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Humans weakest element security awareness
950,What roles can a service bureau play in disaster recovery?,Service bureaus lease computer time via contractual agreements and can meet an organization's entire IT needs in the event of disaster or catastrophic failure.,18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Service bureau disaster recovery
951,What SCAP component provides a standardized scoring system for describing the severity of security vulnerabilities?,Common Vulnerability Scoring System (CVSS),15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,CVSS SCAP vulnerability scoring
952,What security mechanisms are countermeasures to collusion?,"Job rotation, separation of duties, two‐person control, mandatory vacations, workstation change",16,Managing Security Operations,D7,Security Operations,MEDIUM,Ch 16,Collusion countermeasures operations
953,What security principle ensures that multiple records are created in a database table for viewing at different security levels?,Polyinstantiation,20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,Polyinstantiation database security
954,What security problem cannot be prevented or compensated for by environmental controls or hardware devices?,Bad coding,20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,Bad coding software security problem
955,What should be considered when establishing the value of an asset?,"Cost of purchase, development, maintenance, acquisition, and protection; value to owners/users/competitors; equity value; market valuation; liability of asset loss; and usefulness",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Asset value establishment risk management
956,What should be done before disposing of a desktop computer at the end of its life cycle?,Sanitization,5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Sanitization before disposal end-of-life
957,What should be done to verify patches have been applied?,"Audit patches, or use a vulnerability scanner to verify patches have been applied",16,Managing Security Operations,D7,Security Operations,HIGH,Ch 16,Verify patches patch management
958,What should be known about legacy system security risk?,Legacy systems are often a threat because they may not be receiving security updates from their vendors. End of life (EOL) is the point at which a manufacturer no longer produces a product. End of service life (EOSL) or end of support (EOS) are those that are no longer receiving updates and support from the vendor.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Legacy system EOL/EOS architecture risk
959,What should the documents that make up a formalized security structure include?,"Policies, standards, baselines, guidelines, and procedures",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Formalized security structure documents policies
960,What TCSEC category is reserved for systems that have been evaluated but do not meet the requirements of any other category?,Category D (minimal protection),8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,TCSEC Category D security evaluation
961,What technology allows multiple users to make use of the same process without interfering with each other?,Multithreading,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,Multithreading as system architecture concept
962,What term describes a mathematical function that easily produces output values for each possible combination of inputs but makes it impossible to retrieve the input values?,One‐way function,7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,One-way function underlies hash functions
963,What term describes any violation or threatened violation of a security policy?,Incident,17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,"Incident definition, incident management"
964,"What term describes damage from disruptive and irresistible forces of nature (such as earthquakes, floods, storms, and so on)?",Natural disaster,18,Disaster Recovery Planning,D7,Security Operations,MEDIUM,Ch 18,"Natural disaster, nature of disaster"
965,"What term describes damage resulting from arson, human error, acts of terrorism, or power outages and other utility failures?",Human‐made or person‐made disaster,18,Disaster Recovery Planning,D7,Security Operations,MEDIUM,Ch 18,"Human-made disaster, nature of disaster"
966,What term describes the act of gathering information about a system by observing the display or watching an operator at the keyboard?,Shoulder surfing,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Shoulder surfing is social engineering
967,What term describes the act of using another person's security ID to gain unauthorized entry into a facility?,Masquerading,13,Managing Identity and Authentication,D5,Identity and Access Management,MEDIUM,Ch 13,Masquerading using another's security ID
968,What term describes the technical evaluation of each part of a computer system to assess its concordance with security standards?,Certification,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Certification is technical evaluation against standards
969,What term identifies the data extraction technique whereby elements of data are extracted from a much larger body of data to construct a meaningful representation of its overall contents?,Sampling,19,Investigations and Ethics,D7,Security Operations,MEDIUM,Ch 19,Sampling as evidence/data extraction technique
970,What term is used to describe code sent by a server to a client for execution on the client machine?,Applet,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,"Applet, client-based mobile code"
971,What term is used to describe hackers rooting through trash looking for useful information?,Dumpster diving,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Dumpster diving is social engineering
972,What term is used to describe intelligent code objects that perform actions on behalf of a user?,Agent,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,Intelligent agent code object
973,What term is used to refer to the user or process that makes a request to access a resource?,Subject,13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,"Subject makes access request, AAA"
974,"What term refers to any hardware, software, or data that can be used to prove the identity and actions of an attacker?",Evidence,19,Investigations and Ethics,D7,Security Operations,HIGH,Ch 19,Evidence proves identity and actions
975,What the two types of hypervisors?,"A type I hypervisor is a native or bare‐metal hypervisor. In this configuration, there is no host OS; instead, the hypervisor installs directly onto the hardware where the host OS would normally reside. A type II hypervisor is a hosted hypervisor. In this configuration, a standard regular OS is present on the hardware, and then the hypervisor is installed as another software application.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,"Hypervisor types, virtualized systems"
976,What three generic elements can help prevent malware infections?,"Education, policies, and tools",21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Malware prevention elements
977,What tool can check for weaknesses in systems?,Vulnerability scanner,15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Vulnerability scanner checks weaknesses
978,What trend makes it especially important to incorporate an assessment of security controls in contracting and procurement reviews?,The increased use of third‐party and cloud services,16,Managing Security Operations,D7,Security Operations,MEDIUM,Ch 16,Third-party/cloud contracting procurement reviews
979,What two forms of authentication are supported by 802.11?,Open System Authentication (OSA) and Shared Key Authentication (SKA),11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,802.11 wireless authentication types
980,What two ICMP type field values are employed in a successful ping activity?,"8: echo request, 0: echo reply",11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,"ICMP ping types, IP networking"
981,What two items are required for infrastructure mode wireless networking?,Wireless access points and wireless clients,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,Infrastructure mode wireless networking components
982,"What type of accreditation evaluates the systems and applications at a specific, self‐contained location?",Site accreditation,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,MEDIUM,Ch 8,Site accreditation evaluation
983,What type of application analyzes business data and presents it in such a way as to make business decisions easier for users?,Decision support system,20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,Decision support knowledge-based system
984,What type of approach to security is considered better than a fortress mentality approach?,"Defense in depth, multiple layers of security, concentric circles of security",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Defense in depth security approach
985,What type of attack is thwarted with the use of bcrypt?,Rainbow table attacks. Bcrypt salts passwords.,7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Bcrypt salting thwarts rainbow tables
986,What type of attack leverages part of the TCP three‐way handshake?,SYN flood attack,12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,SYN flood network attack
987,What type of cabling must be used to comply with building code safety requirements?,Plenum‐rated cable,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,"Plenum-rated cable, network components"
988,What type of cipher is the Caesar cipher?,Simple substitution,6,Cryptography and Symmetric Key Algorithms,D3,Security Architecture and Engineering,HIGH,Ch 6,Caesar cipher is substitution
989,What type of cryptographic attack is used against algorithms that don't incorporate temporal protections?,Replay attack,7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,"Replay attack, cryptographic attacks"
990,What type of cryptography relies on the use of public and private keys?,Asymmetric,7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Asymmetric uses public/private keys
991,What type of damage occurs when static electricity discharges exceed 40 volts?,Destruction of sensitive circuits,10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,"Static electricity damage, physical/HVAC"
992,What type of database key enforces relationships between tables?,Foreign key,20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,"Foreign key, databases"
993,What type of decision making is mainly concerned with metrics such as dollar values and downtime?,Quantitative,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Quantitative risk decision making
994,What type of disaster recovery separates recovery sites by business teams?,Workgroup recovery,18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,"Workgroup recovery, recovery strategy"
995,What type of evidence is an authenticated computer log?,Documentary evidence,19,Investigations and Ethics,D7,Security Operations,HIGH,Ch 19,Documentary evidence type
996,What type of IDS detects attacks based by comparing it to a baseline?,Behavior‐based (also called statistical‐intrusion detection or anomaly detection),17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,Behavior-based IDS detection
